num,name,p_np,smiles
0,CHEMBL55,0,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
1,CHEMBL4449954,1,CC(C)c1ccc(-c2cc(CN3CCN(C(=O)OC(C)(C)C)CC3)nn2C2CCCCC2)cc1
2,CHEMBL4464179,0,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OCc4ccccc4)cc3)c2c1
3,CHEMBL4470679,1,CC(C)c1ccc(-c2cc(CN3CCSCC3)nn2C2CCCCC2)cc1
4,CHEMBL4522285,1,CC(c1ccc(F)cc1)n1ccn2cc([N+](=O)[O-])nc2c1=O
5,CHEMBL4467473,1,O=C(Cn1ccn2cc([N+](=O)[O-])nc2c1=O)N1CCOCC1
7,CHEMBL4290387,1,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(-c3cccc(CO)c3)cc(Cl)cn12
8,CHEMBL3400788,1,O=c1cc(-c2ccc(C(F)(F)F)cc2)c2cccc([N+](=O)[O-])c2[nH]1
10,CHEMBL141,1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
11,CHEMBL4104702,0,O=C(NC1CCCC1)C1CN(c2ccc(C(F)(F)F)cc2)CC(=O)N1c1ccc2ccoc2c1
12,CHEMBL4067060,1,O=C(NCC1CC1)C1CN(c2ccccc2)CC(=O)N1c1ccc2ccsc2c1
13,CHEMBL3618028,1,COC(=O)[C@]1(C)CCC[C@]2(C)[C@H]3C[C@H]4C(=C(C)C)C5O[C@@]6(O)CCC(=O)[C@H]4[C@@H]6[C@@]53CC[C@@H]12
14,CHEMBL4446037,0,O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Sc3ccccc3F)cc(Cl)cn12
15,CHEMBL4561002,1,CCCOc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4CC)c2c1
16,CHEMBL2147682,1,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)n4ccnc4)CC[C@]23C)C1(C)C
17,CHEMBL299872,1,Nc1ccn([C@@H]2CC[C@H](CO)O2)c(=O)n1
18,CHEMBL4290803,1,O=Cc1ccc(-c2cc(Cl)cn3c([N+](=O)[O-])c(CS(=O)(=O)c4ccccc4)nc23)cc1
21,CHEMBL2159973,1,COc1ccc2nccc([C@H](O)CC[C@@H]3CCN(CCSc4ccco4)C[C@@H]3C(=O)O)c2c1
22,CHEMBL4091445,1,CCOP(=O)(CC1=C(C(=O)OC)C(c2ccc(F)cc2Cl)N=C(c2ccccn2)N1)OCC
23,CHEMBL4102406,1,CC1=C(I)C(c2ccc(F)cc2Br)N=C(c2nccs2)N1
24,CHEMBL534736,1,CC(C)[C@H](N)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)[C@@H](N)C(C)C.Cl
28,CHEMBL2334327,1,Oc1cc(CCc2ccc3ccccc3c2)cc(O)c1O
30,CHEMBL378043,0,Cn1c(CCc2ccco2)nc2cc(Cl)c(Cl)cc21
31,CHEMBL210828,1,COc1nc(=O)n(COC(CO)CO)cc1Br
33,CHEMBL4467495,1,Cc1c(C(=O)Nc2ccccc2)sc(NC(=O)c2cc(Cl)cc(Cl)c2)c1C(N)=O
34,CHEMBL4565805,1,Cc1cc(NC(=O)c2sc(N)c(C(N)=O)c2C)ccc1F
