num,name,p_np,Smiles
0,CHEMBL3323247,1,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(c(-c3ccc4ccccc4c3)c3c(c2OC)OCO3)CCN1C
1,CHEMBL4472475,1,CN1c2ccccc2C(=O)N2CCn3c(cc4ccccc43)C21
2,CHEMBL4551086,0,COc1ccc2c(c1)cc1n2CCN2C(=O)c3ccccc3N(C)C12
5,CHEMBL84655,0,COc1ccc(-c2cc3c(OC)cc(OC)cc3n(CC(=O)O)c2=O)cc1
6,CHEMBL4560662,0,O=C(Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1)OCc1cn(C[C@H]2O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]2O)nn1
7,CHEMBL803,0,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
8,CHEMBL3319289,1,O=C(Cc1ccccc1)C(C[N+](=O)[O-])c1ccc(Cl)cc1
9,CHEMBL4444234,0,CCC(CC)n1cnc2c(NCc3c(C)cc(C)[nH]c3=O)nc(-c3ccc(N4CCN(C)CC4)nc3)nc21
10,CHEMBL3727757,0,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(-c4n[nH]c5c(N)cccc45)cc32)c1C
11,CHEMBL4568930,0,CN(C)CCCNc1nc2ccccc2nc1-c1nc2ccccc2s1
12,CHEMBL3729084,1,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(-c4cnn(-c5ccccc5)c4C)cc32)c1C
13,CHEMBL4447747,0,COc1cc(N2CCN(CC(=O)N3CCN(C)CC3)C2=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
14,CHEMBL4441359,0,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](n5cc[n+](CC(=O)c6ccccc6)c5)CC[C@]4(C)[C@H]3CC[C@@]21C.[Br-]
15,CHEMBL4577193,0,O=C(Nc1cccc(C(F)F)c1)c1c(O)n(-c2ccccc2)c(=S)n(-c2ccccc2)c1=O
16,CHEMBL53463,0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
17,CHEMBL3331597,1,O=c1c2ccccc2oc2cc(OCCCCN3CCOCC3)cc(O)c12
18,CHEMBL3331594,0,CN(C)CCCCOc1cc(O)c2c(=O)c3ccccc3oc2c1
19,CHEMBL4568810,1,C=CC[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1
20,CHEMBL4445234,0,O=C1C(N[C@H](Cc2ccccc2)C(=O)Nc2ccc(C(F)(F)F)cc2)=C/C(=N/O)c2ccccc21
22,CHEMBL3621763,1,O=C1c2ccccc2C(=O)c2c1cc(Sc1ccccc1)c1nsnc21
23,CHEMBL4101920,0,COc1ccc(OC)c(C2c3ccc4ccccc4c3Oc3ncnc(Nc4ccc(F)cc4)c32)c1
24,CHEMBL4228164,0,O=C(N/N=C/c1ccc(F)cc1)N1CCc2ncnc(Nc3cccc(C(F)(F)F)c3)c2C1
25,CHEMBL4445761,0,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
26,CHEMBL4086283,0,COc1cc([C@@H]2c3cc4c(cc3[C@H](OC(=O)NS(=O)(=O)NC3CCCCC3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
27,CHEMBL3289271,0,C=CCn1c(=O)/c(=C\c2cccc(Br)c2)[nH]c(=O)/c1=C\c1ccccc1OC
28,CHEMBL4094711,0,COc1ccc(-n2nc(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)c(C)cc2=O)cc1
29,CHEMBL4455778,0,O=c1c2nnnn2c2cnc(Nc3ccc(N4CCCC4)cc3)nc2n1C1CCCC1
30,CHEMBL1289926,0,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
31,CHEMBL3262852,0,CN(C)CCn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3cccc(Cl)c3Cl)cc2F)ccn1
32,CHEMBL3262862,1,CN(C)CCn1cnnc1-c1cc(Oc2ccc(NC(=O)N/N=C/c3ccc(O)c(O)c3)cc2F)ccn1
33,CHEMBL3262863,1,COc1ccc(/C=N/NC(=O)Nc2ccc(Oc3ccnc(-c4nncn4CCN(C)C)c3)c(F)c2)cc1O
34,CHEMBL4129582,0,CCCCCCC[C@H](O)[C@@H](O)/C=C/C=C/C(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
35,CHEMBL4553848,1,C=C(C)[C@@H]1CC[C@H]2O[C@H]2[C@H]1c1c(O)cc(CCCCC)cc1O
36,CHEMBL4169413,0,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC)[C@@H](C)CC
37,CHEMBL4176147,0,CO[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](C)O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)[C@@H](OC(C)=O)C[C@]5(O)[C@@H]4CC[C@@H]3C2)[C@@H]1OC(C)=O
38,CHEMBL4162912,0,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](C)O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)C(C6=CC(=O)OC6)=CC[C@]5(O)[C@@H]4CC[C@@H]3C2)[C@@H]1O
39,CHEMBL1092797,0,Cc1c(O)c(O)cc2c1CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@H]4[C@]3(C)CC[C@]12C
40,CHEMBL2281703,1,CC(=O)N1N=C(c2ccc(-n3c(C)ccc3C)cc2)OC1c1cccc([N+](=O)[O-])c1
41,CHEMBL4218156,0,CC(=O)OC[C@H]1O[C@@H](OC(=O)NCC(=O)Nc2ccc(NC(=O)CCCc3ccc(N(CCCl)CCCl)cc3)cc2)[C@H](F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
42,CHEMBL4218273,1,CC(=O)OC[C@H]1O[C@@H](Oc2ccc(NC(=O)COC(=O)CCCc3ccc(N(CCCl)CCCl)cc3)cc2)[C@H](F)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
43,CHEMBL4469706,0,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)NCCOc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)C[C@H]4[C@]3(C)CC[C@@]21C
44,CHEMBL4227399,0,Cc1ccccc1-n1c(Cn2cc(-c3ccc(OC(F)(F)F)cc3)nn2)nc2cccc(C)c2c1=O
45,CHEMBL4228708,1,O=C(N/N=C/c1cccc([N+](=O)[O-])c1)N1CCc2ncnc(Nc3ccc(F)c(Cl)c3)c2C1
46,CHEMBL25164,1,C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4
47,CHEMBL53463,0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
48,CHEMBL4082063,0,COc1cc(C(=O)c2c(C#Cc3ccccc3)sc(C)c2C)cc(OC)c1OC
49,CHEMBL4071535,0,Cc1ccc(C(=O)c2c(C#Cc3ccccc3)sc3c2CCCC3)cc1
